название;url;genre;подписки;просмотры;количество авторов
Down To Earth;https://www.webtoons.com/en/romance/down-to-earth/list?title_no=1817;Romance;2900000;302200000;1
Let's Play;https://www.webtoons.com/en/romance/letsplay/list?title_no=1218;Romance;4800000;652600000;1
Morgana and Oz;https://www.webtoons.com/en/fantasy/morgana-and-oz/list?title_no=2964;Fantasy;1100000;38500000;1
True Beauty;https://www.webtoons.com/en/romance/truebeauty/list?title_no=1436;Romance;7100000;917000000;1
SubZero;https://www.webtoons.com/en/romance/subzero/list?title_no=1468;Romance;2900000;330100000;1
Eaternal Nocturnal;https://www.webtoons.com/en/romance/eaternal-nocturnal/list?title_no=2832;Romance;1100000;41100000;1
Boyfriends.;https://www.webtoons.com/en/slice-of-life/boyfriends/list?title_no=2616;Slice of life;2200000;338100000;1
Reunion;https://www.webtoons.com/en/romance/reunion/list?title_no=3416;Romance;901604;26700000;1
No Marriage is Perfect;https://www.webtoons.com/en/romance/no-marriage-is-perfect/list?title_no=4470;Romance;342674;6800000;3
Marry My Husband;https://www.webtoons.com/en/romance/marry-my-husband/list?title_no=4572;Romance;434472;2300000;2
Maybe Meant to Be;https://www.webtoons.com/en/romance/maybe-meant-to-be/list?title_no=4208;Romance;787936;14500000;2
Suitor Armor;https://www.webtoons.com/en/fantasy/suitor-armor/list?title_no=2159;Fantasy;1400000;88700000;1
Mage & Demon Queen;https://www.webtoons.com/en/comedy/mage-and-demon-queen/list?title_no=1438;Comedy;2600000;324500000;1
My Gently Raised Beast;https://www.webtoons.com/en/romance/my-gently-raised-beast/list?title_no=2606;Romance;1500000;78600000;4
The Kiss Bet;https://www.webtoons.com/en/romance/the-kiss-bet/list?title_no=1617;Romance;1400000;110300000;1
Love Me to Death;https://www.webtoons.com/en/fantasy/love-me-to-death/list?title_no=3203;Fantasy;322674;5100000;1
The First Night With the Duke;https://www.webtoons.com/en/fantasy/the-first-night-with-the-duke/list?title_no=1267;Fantasy;1200000;99500000;3
Operation: True Love;https://www.webtoons.com/en/romance/operation-true-love/list?title_no=4465;Romance;432240;6000000;2
Unlovable Replacement;https://www.webtoons.com/en/romance/unlovable-replacement/list?title_no=1762;Romance;1600000;80100000;1
Sixth Sense Kiss;https://www.webtoons.com/en/romance/sixth-sense-kiss/list?title_no=2921;Romance;949332;50500000;2
Trash Belongs in the Trash Can!;https://www.webtoons.com/en/romance/trash-belongs-in-the-trash-can/list?title_no=4314;Romance;432727;7000000;1
Blood Reverie;https://www.webtoons.com/en/romance/blood-reverie/list?title_no=2806;Romance;407992;8100000;1
Leveling UpMy Husband to the Max;https://www.webtoons.com/en/romance/leveling-up-my-husband-to-the-max/list?title_no=3311;Romance;746517;29300000;3
